[2026-06-08 19:07:46.973] 警告 | ToolManager.ExecuteTool: ToolManager.ExecuteTool: 参数错误: OpenPart - 缺少必要参数: path
[2026-06-08 19:07:54.069] 警告 | ToolManager.ExecuteTool: ToolManager.ExecuteTool: 参数错误: OpenPart - 缺少必要参数: path
[2026-06-08 19:07:59.687] 警告 | ToolManager.ExecuteTool: ToolManager.ExecuteTool: 参数错误: OpenPart - 缺少必要参数: path
[2026-06-08 19:08:04.247] 警告 | ToolManager.ExecuteTool: ToolManager.ExecuteTool: 参数错误: OpenPart - 缺少必要参数: path
[2026-06-09 10:25:20.266] 信息 | Logger.Initialize: 日志初始化完成，LogFile=F:\Documents\beya\runtime\mc-design\dependencies\nx-plugin\log\log.txt
[2026-06-09 10:25:20.282] 信息 | Program.InitializeLoggingSafe: NXServer.Startup: logging initialized. RootDir=F:\Documents\beya\runtime\mc-design\dependencies\nx-plugin, LogDir=F:\Documents\beya\runtime\mc-design\dependencies\nx-plugin\log
[2026-06-09 10:25:20.283] 信息 | Program.Startup: NXServer.Startup entered.
[2026-06-09 10:25:20.284] 信息 | Logger.Initialize: 日志初始化完成，LogFile=F:\Documents\beya\runtime\mc-design\dependencies\nx-plugin\log\log.txt
[2026-06-09 10:25:20.284] 信息 | Program.InitializeLoggingSafe: Program.ctor: logging initialized. RootDir=F:\Documents\beya\runtime\mc-design\dependencies\nx-plugin, LogDir=F:\Documents\beya\runtime\mc-design\dependencies\nx-plugin\log
[2026-06-09 10:25:20.284] 信息 | Program..ctor: NXServer constructor started.
[2026-06-09 10:25:20.285] 信息 | Program.SafeStep: Initialize NX Session: start.
[2026-06-09 10:25:20.666] 信息 | Program.InitializeNXSession: NX Session acquired.
[2026-06-09 10:25:20.667] 信息 | Program.SafeStep: Initialize NX Session: done.
[2026-06-09 10:25:20.668] 信息 | Program.SafeStep: Initialize components: start.
[2026-06-09 10:25:20.818] 信息 | Program.InitializeComponents: Dispatcher initialized.
[2026-06-09 10:25:20.820] 信息 | Program..ctor: ToolManager 工具目录: F:\Documents\beya\runtime\mc-design\dependencies\nx-plugin\tools
[2026-06-09 10:25:20.821] 信息 | ToolManager.LoadToolsAssemblies: ToolManager.LoadToolsAssemblies: 跳过基础程序集: Newtonsoft.Json.dll
[2026-06-09 10:25:20.821] 信息 | ToolManager.LoadToolsAssemblies: ToolManager.LoadToolsAssemblies: 跳过基础程序集: NXSDK.dll
[2026-06-09 10:25:20.823] 信息 | ToolManager.LoadToolsAssemblies: ToolManager.LoadToolsAssemblies: 已加载工具程序集: NXTools.dll
[2026-06-09 10:25:20.833] 信息 | ToolManager.RegisterTool: ToolManager.RegisterTool: 注册工具方法: ExitAnimation
[2026-06-09 10:25:20.835] 信息 | ToolManager.RegisterTool: ToolManager.RegisterTool: 注册工具方法: GetOptimizationToolGuide
[2026-06-09 10:25:20.836] 信息 | ToolManager.RegisterTool: ToolManager.RegisterTool: 注册工具方法: ValidateOptimizationStudy
[2026-06-09 10:25:20.837] 信息 | ToolManager.RegisterTool: ToolManager.RegisterTool: 注册工具方法: BuildOptimizationObjectiveExpression
[2026-06-09 10:25:20.839] 信息 | ToolManager.RegisterTool: ToolManager.RegisterTool: 注册工具方法: RunOptimizationStudy
[2026-06-09 10:25:20.839] 信息 | ToolManager.RegisterTool: ToolManager.RegisterTool: 注册工具方法: GetAllParamsList
[2026-06-09 10:25:20.839] 信息 | ToolManager.RegisterTool: ToolManager.RegisterTool: 注册工具方法: GetDriveParamsList
[2026-06-09 10:25:20.839] 信息 | ToolManager.RegisterTool: ToolManager.RegisterTool: 注册工具方法: FindParams
[2026-06-09 10:25:20.840] 信息 | ToolManager.RegisterTool: ToolManager.RegisterTool: 注册工具方法: CreateParam
[2026-06-09 10:25:20.841] 信息 | ToolManager.RegisterTool: ToolManager.RegisterTool: 注册工具方法: UpdateParam
[2026-06-09 10:25:20.841] 信息 | ToolManager.RegisterTool: ToolManager.RegisterTool: 注册工具方法: HighLightDim
